Year,Month,Burned Area [ha],Total Emissions [t],CO2 - Carbon Dioxide [t],CO - Carbon Monoxide [t],TPM - Total Particulate Matter [t],PM2.5 - Fine Particulate Matter [t],TPC - Total Particulate Carbon (OC+BC) [t],NMHC - Non-methane Hydrocarbon Compounds [t],OC - Organic Carbon [t],CH4 - Methane [t],SSO2 - ulfur Dioxide [t],BC - Black Carbon [t],NOx - Nitrogen Oxides [t]
2002,,21401.47,368990.822,340832.869,19466.693,2429.298,1390.008,660.957,1744.654,522.631,1018.398,90.701,137.794,696.818
2003,,11677.432,599679.930,551199.918,33721.286,4145.438,2209.488,1065.848,3170.455,821.336,1858.356,142.576,244.135,1101.093
2004,,55059.95,1139044.128,1046253.826,64597.103,7924.147,4182.366,2020.702,6109.598,1551.081,3583.286,269.396,469.033,2083.591
2005,,33121.833,587590.040,539638.303,33388.793,4093.774,2155.776,1041.923,3162.221,799.039,1854.908,138.799,242.595,1073.910
2006,,34409.785,554559.352,511456.575,29728.394,3738.606,2117.706,1037.335,2704.659,825.712,1570.351,139.517,210.962,1029.535
2007,,313487.527,6342879.716,5941987.588,270900.450,35716.568,25401.446,11608.211,19744.056,9832.797,11292.061,1706.013,1751.345,12939.180
2008,,114262.812,1406864.379,1295603.332,76975.513,9602.063,5307.627,2593.438,7107.118,2041.339,4140.049,347.339,550.768,2595.792
2009,,51496.616,725921.650,673112.596,36419.195,4566.383,2746.733,1270.444,3124.872,1015.473,1825.429,179.288,253.462,1407.777
2010,,20435.506,540417.714,496334.161,30442.537,3823.377,2066.504,1048.476,2878.782,829.022,1667.996,136.620,219.182,971.057
2011,,72983.949,1493540.147,1375934.310,79425.719,10607.126,6274.732,3436.127,7275.899,2882.401,4080.269,437.148,552.193,2634.223
2012,,91723.651,1752621.529,1617073.773,87819.841,13097.506,8568.698,5293.388,7855.463,4714.226,4095.029,641.554,576.869,2885.181
2013,,66308.064,915492.146,842441.586,50581.701,6297.123,3444.241,1688.054,4704.156,1324.179,2741.650,225.110,363.126,1681.221
2014,,47761.555,962874.332,887040.105,52640.019,6502.043,3572.643,1704.997,4846.943,1326.424,2838.819,231.252,377.609,1793.479
2015,,27733.901,360961.021,333058.051,19306.142,2405.085,1356.980,649.519,1749.569,511.779,1021.351,88.491,137.284,676.769
2016,,57099.207,632247.063,581862.335,34085.982,4532.928,2644.122,1451.478,3154.353,1212.673,1772.627,183.863,238.264,1108.439
2017,,40291.433,688731.932,634901.282,36469.792,4826.209,2850.508,1531.381,3322.097,1276.661,1873.590,196.913,253.943,1229.557
2018,,28055.889,303103.099,280441.981,15589.521,1971.327,1164.155,559.282,1370.810,449.683,795.430,76.815,109.078,575.017
2019,,20113.518,459285.355,424888.479,23304.240,3077.516,1883.535,977.540,2045.006,816.524,1156.810,129.196,160.231,846.278
2020,,15691.549,359573.446,332034.124,18475.931,2509.780,1542.044,848.284,1650.560,721.374,916.833,108.469,126.401,639.647
2021,,129825.566,4389218.290,4049787.062,205557.169,36199.912,26222.035,18400.463,18112.336,17166.846,8164.160,2116.359,1227.651,6264.298
2022,,26231.29,486774.030,449107.858,25117.864,3470.346,2143.247,1214.922,2261.375,1043.181,1242.428,152.867,171.119,848.823
2023,,171362.019,4106185.129,3771690.916,205406.054,35071.425,24187.102,17124.060,19045.458,15845.502,8920.758,1946.014,1276.021,5671.818